0.323,text/h323
.aac,audio/aac
.abw,application/abiword
.acx,application/internet-property-stream
.ai,application/illustrator
.aif,audio/aiff
.aifc,audio/aiff
.aiff,audio/aiff
.asf,video/x-ms-asf
.asp,application/x-asp
.asr,video/x-ms-asf
.asx,video/x-ms-asf
.au,audio/basic
.avi,video/avi
.axs,application/olescript
.bas,text/plain
.bin,application/octet-stream
.bmp,image/bmp
.bz2,application/x-bzip2
.c,text/x-csrc
.c++,text/x-c++src
.cab,application/vnd.ms-cab-compressed
.cat,application/vnd.ms-pkiseccat
.cct,application/x-director
.cdf,application/cdf
.cer,application/x-x509-ca-cert
.cfc,application/x-cfm
.cfm,application/x-cfm
.class,application/x-java
.clp,application/x-msclip
.cmx,image/x-cmx
.cod,image/cis-cod
.cp,text/x-c++src
.cpio,application/x-cpio
.cpp,text/x-c++src
.crd,application/x-mscardfile
.crt,application/x-x509-ca-cert
.crl,application/pkix-crl
.crt,application/x-x509-ca-cert
.csh,application/x-csh
.css,text/css
.cst,application/x-director
.csv,text/csv
.cxt,application/x-director
.dcr,application/x-director
.der,application/x-x509-ca-cert
.dib,image/bmp
.diff,text/x-patch
.dir,application/x-director
.dll,application/x-msdownload
.dms,application/octet-stream
.doc,application/vnd.ms-word
.docm,application/vnd.ms-word.document.macroEnabled.12
.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dot,application/msword
.dotm,application/vnd.ms-word.template.macroEnabled.12
.dotx,application/vnd.openxmlformats-officedocument.wordprocessingml.template
.dta,application/x-stata
.dv,video/x-dv
.dvi,application/x-dvi
.dwg,image/x-dwg
.dxf,application/x-autocad
.dxr,application/x-director
.elc,application/x-elc
.eml,message/rfc822
.enl,application/x-endnote-library
.enz,application/x-endnote-library
.eps,application/postscript
.etx,text/x-setext
.evy,application/envoy
.exe,application/x-msdos-program
.fif,application/fractals
.flr,x-world/x-vrml
.fm,application/vnd.framemaker
.fqd,application/x-director
.gif,image/gif
.gtar,application/tar
.gz,application/gzip
.h,text/x-chdr
.hdf,application/x-hdf
.hlp,application/winhlp
.hqx,application/binhex
.hta,application/hta
.htc,text/x-component
.htm,text/html
.html,text/html
.htt,text/webviewhtml
.ico,image/x-ico
.ics,text/calendar
.ief,image/ief
.iii,application/x-iphone
.indd,application/x-indesign
.ins,application/x-internet-signup
.isp,application/x-internet-signup
.jad,text/vnd.sun.j2me.app-descriptor
.jar,application/java-archive
.java,text/x-java
.jfif,image/jpeg
.jpe,image/jpeg
.jpeg,image/jpeg
.jpg,image/jpeg
.js,text/javascript
.kml,application/vnd.google-earth.kml+xml
.kmz,application/vnd.google-earth.kmz
.latex,application/x-latex
.lha,application/x-lha
.lib,application/x-endnote-library
.llb,application/x-labview
.log,text/x-log
.lsf,video/x-la-asf
.lsx,video/x-la-asf
.lvx,application/x-labview-exec
.lzh,application/x-lha
.m,text/x-objcsrc
.m1v,video/mpeg
.m2v,video/mpeg
.m3u,audio/x-mpegurl
.m4a,audio/m4a
.m4v,video/mp4
.ma,application/mathematica
.mail,message/rfc822
.man,application/x-troff-man
.mcd,application/x-mathcad
.mdb,application/vnd.ms-access
.me,application/x-troff-me
.mfp,application/x-shockwave-flash
.mht,message/rfc822
.mhtml,message/rfc822
.mid,audio/x-midi
.midi,audio/x-midi
.mif,application/vnd.framemaker
.mny,application/x-msmoney
.mov,video/quicktime
.mp2,video/mpeg
.mp3,audio/mpeg
.mpa,video/mpeg
.mpe,video/mpeg
.mpeg,video/mpeg
.mpg,video/mpeg
.mpp,application/vnd.ms-project
.mpv2,video/mpeg
.mqv,video/quicktime
.ms,application/x-troff-ms
.mvb,application/x-msmediaview
.mws,application/x-maple
.nb,application/mathematica
.nws,message/rfc822
.oda,application/oda
.odf,application/vnd.oasis.opendocument.formula
.odg,application/vnd.oasis.opendocument.graphics
.odp,application/vnd.oasis.opendocument.presentation
.ods,application/vnd.oasis.opendocument.spreadsheet
.odt,application/vnd.oasis.opendocument.text
.ogg,application/ogg
.one,application/msonenote
.p12,application/x-x509-ca-cert
.patch,text/x-patch
.pbm,image/x-portable-bitmap
.pcd,image/x-photo-cd
.pct,image/x-pict
.pdf,application/pdf
.pfx,application/x-pkcs12
.pgm,image/x-portable-graymap
.php,application/x-php
.pic,image/x-pict
.pict,image/x-pict
.pjpeg,image/jpeg
.pl,application/x-perl
.pls,audio/x-mpegurl
.pko,application/ynd.ms-pkipko
.pm,application/x-perl
.pmc,application/x-perfmon
.png,image/png
.pnm,image/x-portable-anymap
.pod,text/x-pod
.potm,application/vnd.ms-powerpoint.template.macroEnabled.12
.potx,application/vnd.openxmlformats-officedocument.presentationml.template
.ppam,application/vnd.ms-powerpoint.addin.macroEnabled.12
.ppm,image/x-portable-pixmap
.pps,application/vnd.ms-powerpoint
.ppsm,application/vnd.ms-powerpoint.slideshow.macroEnabled.12
.ppsx,application/vnd.openxmlformats-officedocument.presentationml.slideshow
.ppt,application/vnd.ms-powerpoint
.pptm,application/vnd.ms-powerpoint.presentation.macroEnabled.12
.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
.prf,application/pics-rules
.ps,application/postscript
.psd,application/photoshop
.pub,application/vnd.ms-publisher
.py,text/x-python
.qt,video/quicktime
.ra,audio/vnd.rn-realaudio
.ram,audio/vnd.rn-realaudio
.rar,application/rar
.ras,image/x-cmu-raster
.rgb,image/x-rgb
.rm,application/vnd.rn-realmedia
.rmi,audio/mid
.roff,application/x-troff
.rpm,audio/vnd.rn-realaudio
.rtf,application/rtf
.rtx,application/rtf
.rv,video/vnd.rn-realvideo
.sas,application/sas
.sav,application/spss
.scd,application/x-msschedule
.scm,text/x-script.scheme
.sct,text/scriptlet
.sd2,application/spss
.sea,application/x-sea
.sh,application/x-sh
.shar,application/x-shar
.shtml,text/html
.sit,application/stuffit
.smil,application/smil
.snd,audio/basic
